price_level,single_online,single_online_child,single_offline,single_offline_child,multi,multi_child,day_solo,day_plus,mobi_7,mobi_9,mobi_31,solo_31,abo_3,abo_6,abo_12,abo_12_plus,abo_12_9,student_week,student_month,semester_basis,semester_addition,365_ticket
A,2.75,1.37,3.2,1.6,11,5.5,8.3,12.3,26.7,73.4,90.9,80.1,73.9,68.9,61.6,67.5,37.9,20.7,60.5,75,207,365
B,2.4,1.2,2.7,1.4,9.6,4.8,5.7,9.2,23.4,63.7,79,71.9,66.3,62.5,53.3,59.9,27.9,17.7,52.9,75,207,365
C,2.17,1.07,2.5,1.3,8.7,4.3,5.1,8.3,18.8,52.5,64.3,57.7,54.2,51.1,43.8,48.2,26.9,14.5,43.4,75,207,365
D,1.8,0.9,2.1,1.1,7.2,3.6,4.7,7.6,15.2,41.2,51.3,46.5,44.2,41.7,36.3,39.7,22.3,11.8,35.3,75,207,365
E,1.57,0.77,1.7,0.9,6.3,3.1,3.7,5.8,12.9,35.6,44.2,39.8,37.7,35.6,31.3,34.3,19.3,10,29.9,75,207,365
F,1.3,0.65,1.4,0.7,5.3,2.6,2.9,4.9,10.4,28.6,35.6,31.8,30.1,28.5,25.1,27.5,15.5,8.2,24.4,75,207,365
K,1.45,0.72,1.7,0.8,5.8,2.9,,,,,,,,,,,,,,75,207,365
1,1.8,0.9,2.1,1.1,7.2,3.6,4.7,9.4,15.2,41.2,51.3,46.5,44.2,41 .70,36.3,39.7,22.3,11.8,35.3,75,207,365
2,2.51,1.3,2.7,1.4,,,5.7,9.4,24.7,68.8,84.4,75.9,71.9,67.9,59.7,65.4,36.7,19.1,57,75,207,365
2 + T,3.62,1.86,3.9,2,,,13.6,13.6,29.7,81.7,101,90.8,86,81.3,71.4,78.2,52.1,22.8,68.3,75,207,365
3,3.62,1.86,3.9,2,,,13.6,13.6,33,81.7,112.3,100.9,95.6,90.3,79.6,87.2,52.1,25.3,75.7,75,207,365
3 + T,4.92,2.51,5.3,2.7,,,13.6,13.6,38.9,81.7,132.9,119.5,113.2,107,94,102.9,52.1,30,89.8,75,207,365
4,4.92,2.51,5.3,2.7,,,13.6,13.6,42.5,81.7,145.7,130.7,123.8,117,102.6,112.3,52.1,32.8,98.2,75,207,365
4 + T,4.92,2.51,5.3,2.7,,,13.6,13.6,45.7,81.7,156.5,140.4,133,125.7,110.4,120.9,52.1,35.3,105.6,75,207,365
5,6.04,3.06,6.5,3.3,,,17.8,17.8,49.7,101.9,169.9,152.6,144.6,136.6,120.1,131.5,82.9,38.4,114.7,75,207,365
5 + T,6.04,3.06,6.5,3.3,,,17.8,17.8,53.1,101.9,181.4,163.1,154.5,146,128.4,140.6,82.9,41,122.7,75,207,365
6,7.25,3.62,7.8,3.9,,,17.8,17.8,55.7,101.9,190.2,171,162,153,134.7,147.5,82.9,42.9,128.2,75,207,365
6 + T,7.25,3.62,7.8,3.9,,,17.8,17.8,60.6,101.9,207.2,186.3,176.5,166.7,147.1,161.1,82.9,46.9,140.1,75,207,365
7,8.55,4.27,9.2,4.6,,,17.8,17.8,65.1,101.9,222.4,200,189.5,179,157.7,172.7,82.9,50.2,150,75,207,365
7 + T,8.55,4.27,9.2,4.6,,,17.8,17.8,69.9,101.9,238.2,214.4,203.1,191.9,168.9,184.9,82.9,53.8,160.8,75,207,365
8,9.67,4.83,10.4,5.2,,,21.5,21.5,74.2,111.5,253.8,228.2,216.2,204.2,180.2,197.3,99.9,57.3,171.4,75,207,365
8 + T,9.67,4.83,10.4,5.2,,,21.5,21.5,78.4,111.5,267.8,240.8,228.2,215.5,189.6,207.6,99.9,60.4,180.5,75,207,365
9,10.88,5.48,11.7,5.9,,,21.5,21.5,82.8,111.5,283.1,254.6,241.2,227.9,200.7,219.8,99.9,63.9,191.1,75,207,365
9 + T,10.88,5.48,11.7,5.9,,,21.5,21.5,86.8,111.5,296.6,266.7,252.7,238.7,210.3,230.3,99.9,67,200.2,75,207,365
10,12.09,6.04,13,6.5,,,21.5,21.5,91.7,111.5,313.6,282.1,267.3,252.5,222.2,243.3,99.9,70.8,211.6,75,207,365
10 + T,12.09,6.04,13,6.5,,,21.5,21.5,98.6,111.5,337.3,303.4,287.5,271.5,238.7,261.4,99.9,75.9,227,75,207,365
